"question","answer","title","context"
"ディプロマを発行するのはどこか。","高等教育機関","ディプロマ","ディプロマ [SEP] ディプロマ（diploma）とは、高等教育機関より発行される卒業証明書や業績証明書である。これらは、授与された者が完全に特定の課程を修了したこと、または特定の学科の単位を取得したことを証明する。"
"国司は何と読む","こくし、くにのつかさ","国司","国司 [SEP] 国司（こくし、くにのつかさ）は、古代から中世の日本で、地方行政単位である国の行政官として中央から派遣された官吏で、四等官である守（かみ）、介（すけ）、掾（じょう）、目（さかん）たちを指す。守の唐名は刺史、太守など。大国、上国の守は中央では中級貴族に位置する。"
"コントラバスとは何のこと","楽器","コントラバス","コントラバス [SEP] コントラバスとは別に、電気楽器としてエレクトリックベース、電子楽器としてシンセベース（キーボードベース）も存在する。また、エレクトリック・アップライト・ベースもある。ダブル・ベース・ドラムという楽器の用語があるが、こちらは通常のベースドラム（バスドラム）を二個使っているという意味でダブルであり、本項の意味とは異なる。"
"管弦楽曲を演奏する目的で編成された楽団をカタカナでなんといいますか？","オーケストラ","オーケストラ","オーケストラ [SEP] オーケストラ（伊/）は、音楽の一種である管弦楽（管弦楽曲）、または、管弦楽曲を演奏する目的で編成された楽団（管弦楽団）を指す。日本語では後者の用法が主である。"
"鉄道やバス、航空機などの公共交通機関において、各駅・空港・停留所等で乗降した人の数を何という","乗降人員","乗降人員","乗降人員 [SEP] 乗降人員（じょうこうじんいん）は、鉄道やバス、航空機などの公共交通機関において、各駅・空港・停留所等で乗降した人の数である。乗降客数や乗降者数とも呼ばれる。各所での乗車数である乗車人員と降車数である降車人員の和で表される。"
"何航空宇宙局（アメリカこうくううちゅうきょく）、或いは米国国家航空宇宙局（べいこくこっかこうくううちゅうきょく）は、アメリカ合衆国政府内における宇宙開発に関わる計画を担当する連邦機関である","アメリカ","アメリカ航空宇宙局","アメリカ航空宇宙局 [SEP] アメリカ航空宇宙局（アメリカこうくううちゅうきょく）、或いは米国国家航空宇宙局（べいこくこっかこうくううちゅうきょく）は、アメリカ合衆国政府内における宇宙開発に関わる計画を担当する連邦機関である。1958年7月29日、国家航空宇宙法 (National Aeronautics and Space Act) に基づき、先行の国家航空宇宙諮問委員会 (National Advisory Committee for Aeronautics, NACA) を発展的に解消する形で設立された。正式に活動を始めたのは1958年10月1日のことであった。"
"天文学では、目標とする点が水平方向よりどれだけ上の方向に見えるかを示す角度のことを何というか？","高度","高度","高度 [SEP] 天文学では「高度」とは、目標とする点が水平方向よりどれだけ上の方向に見えるかを示す角度のこと。「地平線から天体までの「角距離」」とも言う。「この日、太陽の南中時の高度は55度であった」というように使う。地平座標のひとつの要素であり、目標点がどの方向にあるのかを正確に表すため、方位角とともに用いられることが多い。（地球上から天体を観測している）観測者は、天体の「位置」を表わすのに、高度と方位角を使う地平座標を用いて表現する。"
"団体、個人、スポーツのチーム、イベント、施設、番組などに対し、広告やPRを目的に金銭を支出する団体あるいは個人をなんという？","スポンサー","スポンサー","スポンサー [SEP] スポンサーとは、団体、個人、スポーツのチーム、イベント、施設、番組などに対し、広告やPRを目的に金銭を支出する団体あるいは個人、すなわち広告主である。ほぼ同じ意味で「エンドースメント」も使われる。"
"表座敷とは何か？","客間として使う「座敷」","座敷","座敷 [SEP] 客間として使う「座敷」と、もっぱら家族が起居するための奥まった「座敷」とを区別するためには、前者を「表座敷（おもてざしき）」、後者を「奥座敷（おくざしき）」と呼ぶ。また、換喩表現としては、「表玄関」という語があるために「表座敷」はあまり用いられないが、「奥座敷」は繁華地に近接するリゾート地を指す語として用いられる（なお、多くの場合、和風のリゾートであり、和風リゾートの多くは温泉街であるが、必ずしもその限りではない）。"
"基礎科学である数学・化学・物理学などを工業生産に応用する学問は","工学","工学","工学 [SEP] 工学（こうがく）またはエンジニアリングとは、基礎科学である数学・化学・物理学などを工業生産に応用する学問。「真理の探究」を目指す基礎科学と「実用」を目指す工学の違いは絶対的ではなく、例えば電子工学や薬品生産などがあると『日本大百科全書』は述べている。これらの分野では、基礎科学・基礎研究の成果が応用科学・研究開発の中へと直接組み込まれている。日本の国立8大学の工学部を中心とした文書、「工学における教育プログラムに関する検討委員会」（1998年）では次の通り定義されている。"
"ニース（Nice）はイタリア語では何と言うか","ニッツァ（Nizza）","ニース","ニース [SEP] ニース（Nice）は、フランスの南東部に位置する都市で、アルプ＝マリティーム県の県庁所在地である。プロバンス語（ニサール語）ではニッサ（Niça、Nissa）、イタリア語ではニッツァ（Nizza）という。"
"シングルスケーティングとは何競技のひとつか","フィギュアスケート","シングルスケーティング","シングルスケーティング [SEP] シングルスケーティング（Single skating）は、フィギュアスケート競技のひとつ。男子シングルと女子シングルの2つがある。"
"フィギュアスケートの男子シングル、女子シングル、ペアでショートプログラムの後に行われる種目のひとつは？","フリースケーティング","フリースケーティング","フリースケーティング [SEP] フリースケーティング（Free skating）は、フィギュアスケートの男子シングル、女子シングル、ペアでショートプログラムの後に行われる種目のひとつ。ロングプログラムとも呼ばれる。"
"職業能力開発校はひらがなで何と読む？","しょくぎょうのうりょくかいはつこう","職業能力開発校","職業能力開発校 [SEP] 職業能力開発校（しょくぎょうのうりょくかいはつこう）とは、普通職業訓練で長期間及び短期間の訓練課程のものを行うための施設である。職業能力開発促進法に規定されている公共職業能力開発施設の一つであり、学校教育法に規定する学校（一条校）や専修学校・各種学校ではない。"
"一人の支配者が統治する国家形態を何と言う？","君主制","君主制","君主制 [SEP] 君主制（くんしゅせい、英：monarchy）または君主政とは、一人の支配者が統治する国家形態であり、伝統的には君主が唯一の主権者である体制。語源はギリシア語の「モナルケス monarches」で、「ただ一人の支配」を意味する。君主制を支持することを 君主主義 という。君主制の対義語は共和制（republic）や共和主義（republicanism）である。"
"関東地方1都4県で、12の鉄道路線を運営している鉄道事業者は","東武鉄道株式会社","東武鉄道","東武鉄道 [SEP] 東武鉄道株式会社（とうぶてつどう）は、日本の大手私鉄の一つであり、関東地方1都4県で、12の鉄道路線を運営している鉄道事業者である。略称は東武（とうぶ）。鉄道のほかバスなどの交通、流通・物流業、住宅、レジャーなど約80社からなる東武グループの中核企業である。"
"イギリス・ロンドンに本社を置く世界有数の規模を持つグローバル製薬企業とは？","グラクソ・スミスクライン","グラクソ・スミスクライン","グラクソ・スミスクライン [SEP] グラクソ・スミスクラインは、イギリス・ロンドンに本社を置く世界有数の規模を持つグローバル製薬企業。略称はGSK。ロンドン証券取引所、ニューヨーク証券取引所上場企業（ ）。"
"国境や空港、港など、人が異なる国家間を出入りする場合に、当該国がその出入国を管理・審査・把握することをなんというか。","出入国管理","出入国管理","出入国管理 [SEP] 出入国管理（しゅつにゅうこくかんり）とは、国境や空港、港など、人が異なる国家間を出入りする場合に、当該国（政府）がその出入国を管理・審査・把握することをいう。出入境管理、出入域管理と呼ばれることもある。"
"原子核の変換や核反応に伴って放出される多量のエネルギーのことを何というか？","原子力","原子力","原子力 [SEP] とは、原子核の変換や核反応に伴って放出される多量のエネルギーのこと、またはそのエネルギーを兵器や動力源に利用すること。やともいい、単にと呼ぶ場合には、原子力を指すことが通例である。"
"海人社の刊行する艦船総合情報誌「世界の艦船」は西暦何年創刊された？","1957年","世界の艦船","世界の艦船 [SEP] 『世界の艦船』（せかいのかんせん）は、海人社の刊行する艦船総合情報誌。1957年8月10日、創刊。月刊のほかに、別冊、増刊、CD-ROM版が存在する。また、同誌を元にした食玩の名称でもある。"
"「ファン」「マニア」と同義に使われることもある言葉は？","おたく","おたく","おたく [SEP] 特にアニメや漫画、ゲームなどの消費的な趣味を持つ人たちを指すことが多いが、明確な定義があるわけではなく、「ファン」「マニア」と同義に使われることもある。オタクまたはヲタクとも表記される。"
"走幅跳の競技の着地点が砂場となっているのはなぜですか","安全性と記録の行いやすさから","走幅跳","走幅跳 [SEP] 競技の着地点は普通、安全性と記録の行いやすさから砂場となっている。その砂場にできた競技者の身体（普通は足）の跡のうち、踏み切り地点より最も近い地点を着地点とし、踏み切り地点からの距離を記録とする。手や尻を後ろに突いてしまった場合はその地点までの距離が記録となる。"
"古細菌何と読む？","こさいきん","古細菌","古細菌 [SEP] 古細菌（こさいきん、アーキア、:archaea/アルカエア、:archaeum, archaeon）は、生物の主要な系統の一つである。細菌（バクテリア）、真核生物（ユーカリオタ）と共に、全生物界を3分している。古細菌は形態や名称こそ細菌と類似するが、細菌とは異なる系統に属しており、その生態機構や遺伝子も異なる。非常に多様な生物を含むが、その代表例として高度好塩菌、メタン菌、好熱菌などが良く知られている。"
"ゲームで有名な会社はどこでしょう","任天堂","任天堂","任天堂 [SEP] 任天堂株式会社（にんてんどう）は、主に玩具やコンピュータゲームの開発・製造・販売を行う日本の企業。TOPIX Core30およびJPX日経インデックス400の構成銘柄の一つ。"
"特に管理職のことを何と呼ぶ","役職","役職","役職 [SEP] 役職（やくしょく）とは、役目や職務のこと。特に管理職のことを指す。"
"西アフリカのセネガンビア・ギニアからカメルーン・スーダンにかけて分布するフラニ人（フラ人、）の言語は何？","フラニ語","フラニ語","フラニ語 [SEP] フラニ語（フラニご、Fulani）、またはフラ語（フラご、Fula, Fulah）は、西アフリカのセネガンビア・ギニアからカメルーン・スーダンにかけて分布するフラニ人（フラ人、）の言語である。またセネガル川流域の トゥクロール族（Toucouleurs）の第一言語であり、他の地方の諸族の第二言語である。"
"コンシューマーゲームを日本語で","家庭用ゲーム","コンシューマーゲーム","コンシューマーゲーム [SEP] コンシューマーゲーム（英:console game）とは、市販されている家庭用ゲーム機でのプレイを前提として作られるコンピュータゲームを指す用語。「家庭用ゲーム」とも呼ばれる。"
"青銅は何と何の合金？","銅と錫","青銅器時代","青銅器時代 [SEP] 青銅は銅と錫の合金であるため、当然ながら、ある社会が青銅器時代へと移行するためには、交易によって他の文明圏から青銅器自体を大量かつ恒常的に入手できる例外的な場合を除いては、鉱物資源の入手が可能な状況が存在しなければならなかった。また同時に、火の制御と利用に関する高度な技術や冶金術の発達も必要とされた。"
"国際自然保護連合が世界各国で保護されている地域に対して行なっているカテゴリー化は何を示している","保護された自然区域の管理の度合い","国際自然保護連合","国際自然保護連合 [SEP] 国際自然保護連合は、世界各国の政府・法人・個人が保護している地域に対して、以下のようなカテゴリー化を行っている。これらのカテゴリーは、保護された自然区域の管理の度合いを示すものである。"
"アメリカの武官組織はいくつあるか。","8つ","アメリカ陸軍","アメリカ陸軍 [SEP] アメリカ陸軍（United States Army, USA,U.S.Army）は、アメリカ軍の陸軍部門である。アメリカの8つの武官組織のうちの1つであり、合衆国憲法ではアメリカの陸軍と定められている。現代のアメリカ陸軍は、アメリカが国として設立される前の1775年6月14日にアメリカ独立戦争（1775年〜1783年）を戦うために結成された大陸軍にそのルーツを持つ。独立戦争後、合衆国議会は1784年6月3日、解散した大陸軍に代わってアメリカ陸軍を創設した。アメリカ陸軍は、自らを大陸軍の継続部隊と考えており、そのため、制度上の発足は1775年の同軍の起源と考えている。"
"カーネル管理していることとは何か。","ハードウェアとソフトウェアの連携","カーネル","カーネル [SEP] カーネルは、階層型に設計されたオペレーティングシステム (OS) の中核となる部分で、アプリケーションとハードウェアの架け橋である。具体的には、システムのリソースや、ハードウェアとソフトウェアの連携を管理する。その他、通信制御も行う事が多い。"
"仏教における人間界は地獄から数えて何番目ですか?","第5番目","人間界","人間界 [SEP] 仏教における人間界とは、迷界・欲界・六道、また十界の中の1つの世界にして、地獄から数えて第5番目に位置する。また三善道の1つ。過去世において、五戒（不殺生・不偸盗・不邪淫・不妄語・不飲酒）、また中品の十善の善因を修した者が生れる場所とされる。"
"自分の作品（創作・二次創作の両方）をアップロードし、他のユーザーの作品をブックマークすることで、同じ嗜好の人々がつながることができる。グローバルな展開を念頭に置いて作られたサービスとは何？","Pixiv","Pixiv","Pixiv [SEP] 自分の作品（創作・二次創作の両方）をアップロードし、他のユーザーの作品をブックマークすることで、同じ嗜好の人々がつながることができる。グローバルな展開を念頭に置いて作られたサービスで、運営はサービス開始から言語的コミュニケーションを最小限に抑え、ユーザーが作品を通して個人的なネットワークを形成できるようシステムを整え、世界レベルのオンライン・コミュニティに成長した。"
"ネスレの本社はどこにあるか？","スイスのヴェヴェー","ネスレ","ネスレ [SEP] ネスレ（仏語: Nestle S.A.、独語: Nestle AG、英語: Nestle Ltd.）は、スイスのヴェヴェーに本社を置く、世界最大の食品・飲料会社である。ミネラルウォーターやベビーフード、コーヒー、乳製品、アイスクリームなど多くの製品を取り扱っている。スイス証券取引所上場企業。日本法人はネスレ日本株式会社。"
"鉄道要覧における東京メトロ日比谷線の名称は?","2号線日比谷線","東京メトロ日比谷線","東京メトロ日比谷線 [SEP] 日比谷線（ひびやせん）は、東京都足立区の北千住駅から目黒区の中目黒駅間を結ぶ、東京地下鉄（東京メトロ）が運営する鉄道路線。鉄道要覧における名称は2号線日比谷線である。"
"相互運用のための広く合意されたガイドラインという意味が含まれる用語は？","標準（standard）","標準化","標準化 [SEP] 標準化（ひょうじゅんか、英語：(スタンダーディゼーション)）という用語は、文脈によって様々な意味を持つ。「標準（standard）」という用語には、相互運用のための広く合意されたガイドラインという意味が含まれ、「標準化」はそのような標準を確立する過程を指すのが一般的である。"
"中央教育審議会を中教審（ちゅうきょうしん）とは？","略すこともある。","中央教育審議会","中央教育審議会 [SEP] 中央教育審議会（ちゅうおうきょういくしんぎかい、英：Central Council for Education）は、日本の文部科学省におかれている審議会である。中教審（ちゅうきょうしん）と略すこともある。"
"ソフトウェア・ハードウェア開発では「瑕疵」「不具合」をなんと呼ぶ","バグ","バグ","バグ [SEP] ソフトウェア・ハードウェア開発における契約文書など、法的な文書ではバグのことを「瑕疵」（かし）と記述する。原因や責任の所在などが不明なものを特定性の低い表現の「不具合」と呼ぶことがある。また、セキュリティ面に関わる脆弱性や欠陥は「セキュリティホール」などと呼ばれることもあり、バグはこれらの原因のひとつになりうる。"
"第4回十字軍や北方十字軍などでは敵として遠征の対象となっているのはどの会。","正教会","十字軍","十字軍 [SEP] 実態は必ずしも「キリスト教」の大義名分に当て嵌まるものではなく、中東に既にあった諸教会（正教会・東方諸教会）の教区が否定されてカトリック教会の教区が各十字軍の侵攻後に設置されたほか、第4回十字軍や北方十字軍などでは、正教会も敵として遠征の対象となっている。また、目的地も必ずしもエルサレム周辺であるとは限らず、第4回以降はイスラム最大勢力であるエジプトを目的とするものが多くなり、最後の十字軍とされることもある第8回十字軍は北アフリカのチュニスを標的としている。"
"パーセントをドイツ語では何というか。","プロセント","パーセント","パーセント [SEP] が語源であり、'は「毎に」、'は「百」を意味する。また、パーセント記号そのものはを縮めて書いたものがもとになっている。ドイツ語ではといい、このため古い文献ではプロセントと表記されている。"
"数人が長距離（長いものでは数百キロ）をリレー形式で走り、そのタイム（時間）を競う陸上競技は？","駅伝競走","駅伝競走","駅伝競走 [SEP] 駅伝競走（えきでんきょうそう）は、数人が長距離（長いものでは数百キロ）をリレー形式で走り、そのタイム（時間）を競う陸上競技である。一般的に「駅伝」と略されている。"
"日本の天台宗の開祖であり、伝教大師（でんぎょうだいし）として広く知られる人物とは？","最澄","最澄","最澄 [SEP] 最澄（さいちょう766年〈天平神護2年〉もしくは767年〈神護景雲元年〉 - 822年〈弘仁13年〉）は、平安時代初期の日本の仏教僧。日本の天台宗の開祖であり、伝教大師（でんぎょうだいし）として広く知られる。近江国（現在の滋賀県）滋賀郡古市郷（現：大津市）もしくは生源寺（現：大津市坂本）の地に生れ、俗名は三津首広野（みつのおびとひろの）。唐（中国）に渡って仏教を学び、帰国後、比叡山延暦寺を建てて日本における天台宗を開いた。"
"1931年から2012年まで存在していた、かつてユニバーサル・ミュージック、ソニー・ミュージックエンタテインメント、ワーナー・ミュージックと共に4大レコード会社のひとつであった会社は何か","EMI（イーエムアイ）","EMI","EMI [SEP] EMI（イーエムアイ）は、1931年から2012年まで存在したイギリスのレコード会社である。かつてはユニバーサル・ミュージック、ソニー・ミュージックエンタテインメント、ワーナー・ミュージックと共に4大レコード会社のひとつであった。音楽出版事業は2018年にソニーの子会社となる。"
"イギリスの週刊新聞で、ロンドンに所在するエコノミスト・グループから発行されているのは？","エコノミスト","エコノミスト","エコノミスト [SEP] 『エコノミスト』（The Economist）は、イギリスの週刊新聞で、ロンドンに所在するエコノミスト・グループから発行されている。新聞ではあるが、外見は雑誌の体裁をとっている。日本の読売新聞と提携している。1843年にスコットランドの経済学者であるによって創刊された。"
"力の弱い中小企業の経済的地位向上を図るために組織化されている組み合いの名称は？","中小企業等協同組合","中小企業等協同組合","中小企業等協同組合 [SEP] 中小企業等協同組合（ちゅうしょうきぎょうとうきょうどうくみあい）は、中小企業等協同組合法に定められている以下の協同組合の総称である。主に力の弱い中小企業の経済的地位向上を図るために組織化されている。"
"野球での盗塁を英語で何というか。","スチール","盗塁","盗塁 [SEP] 盗塁（とうるい）は、野球における攻撃側の走者の進塁方法の一つである。走者が、安打、刺殺、失策、封殺、野手選択、捕逸、暴投、ボークによらないで、1個の塁を進んだときに盗塁が記録される。英語名はStolen Baseで略記はSBが使われる。日本でも「スチール」（steal）とも呼ばれる。"
"ソフトウェアのための問題解決と計画の工程をなんというか。","ソフトウェア設計","ソフトウェア設計","ソフトウェア設計 [SEP] ソフトウェア設計は、ソフトウェアのための問題解決と計画の工程である。ソフトウェアの目的と仕様が決定した後で、ソフトウェア開発者が設計をしたり、専門の設計者が開発計画を立てる。細かいコンポーネントやアルゴリズムの実装だけではなく、アーキテクチャ的観点での検討も行われる。"
"刑罰としての拘禁はいつころから用いられる？","13世紀","刑務所","刑務所 [SEP] 刑罰としての拘禁は13世紀ころから用いられるようになり、宗教裁判の広がりと共に頻繁に行われるようになったが、その当時は修道院などを一時的に使用する場合が多く、刑務所、あるいは牢獄といえば裁判を待つ未決囚や執行を待つ死刑囚などを拘禁する場所を指した。当初は長期の拘禁を予定していなかったため、裁判所庁舎などの地下などに簡易的につくられた非衛生的なものが多かった。"
"仏教典籍（Buddhist texts）の略称で、仏教の聖典の総称とは","仏典（ぶってん）","仏典","仏典 [SEP] 仏典（ぶってん）とは、仏教典籍（Buddhist texts）の略称で、仏教の聖典の総称である。「律蔵」「経蔵」「論蔵」という分類形態から三蔵とも呼ばれる。言語的には、パーリ語・サンスクリット語などのインドのものを初めとして、漢語、チベット語、モンゴル語、満州語のものがあり、西夏語のものも一部現存する。漢語やパーリ語から日本語に訳したものもこれに準じる。"
"アフガニスタンで、10万年前頃の石器が発見されたのはカズニー西方のどこですか？","ダシュティ・ナウル","アフガニスタンの歴史","アフガニスタンの歴史 [SEP] アフガニスタンの考古学調査が行われてきているが、先史時代のことで分かったことは比較的少ない。しかし、旧石器時代と新石器時代に、この地域に広く人が住んでいたことは分かっている。10万年前頃（前期旧石器時代）の石器がカズニー西方のダシュティ・ナウルで、5万年前頃（中期旧石器時代）の石器がヒンドゥークシュ山脈の北方と南方地域で、2万～1万5000年前頃（後期旧石器時代）の石器がバルフ地域で発見されている。また、1万年前頃のものと6000年前頃のものと推定される石器がアム・ダリアの南方とフルムの北方で発見されている。"
"幼稚園を設立したのは誰。","フリードリヒ・フレーベル","幼稚園","幼稚園 [SEP] 19世紀前半に活躍したドイツの幼児教育者、フリードリヒ・フレーベルが1840年に設立した小学校に上がる前の幼児のための学校が最初の幼稚園である。幼稚園という語は、彼の作った学校の名前である （フレーベルの造語、「子供達の庭」、「子供の国」の意）を翻訳してできた。"
"統一金融機関コード何桁","4桁","統一金融機関コード","統一金融機関コード [SEP] 統一金融機関コード（とういつきんゆうきかんコード）とは、全国銀行協会内の金融機関共同コード管理委員会が制定する、金融機関に付与された4桁のコードである。金融機関コード、銀行コード、全銀協コードとも呼ばれる。全国銀行データ通信システムなどでの通信や、顧客会社が依頼する振込や口座振替のデータ作成に用いられる。"
"芸妓の読み方は","げいぎ","芸妓","芸妓 [SEP] 芸妓（げいぎ）は、舞踊や音曲・鳴物で宴席に興を添え、客をもてなす女性。芸者・芸子のこと。酒席に侍って各種の芸を披露し、座の取持ちを行う女子のことであり、太夫遊びが下火となった江戸時代中期ごろから盛んになった職業の一つである。"
"昔ながらの湯治場や木造旅館が並ぶもの、大型ホテルやリゾートホテルが建ち並ぶような温泉がある観光地のことを何と言いますか","温泉街","温泉街","温泉街 [SEP] 一概に温泉街といっても実に多種多様である。鉄筋の大型ホテルやリゾートホテルが建ち並ぶような温泉街から昔ながらの木造旅館が並ぶもの、昔ながらの湯治場など様々である。このような変化を及ぼす要因としては次のようなものが挙げられる。"
"インターネット制御通知プロトコルの通称は？","ICMP","Internet_Control_Message_Protocol","Internet_Control_Message_Protocol [SEP] Internet Control Message Protocol（インターネット制御通知プロトコル、ICMP）とは、通信処理で使われるプロトコルのひとつで、Internet Protocolのデータグラム処理における誤りの通知や通信に関する情報の通知などのために使用される。ICMPに関するICMP通知は、通知が無限ループに陥るのを防ぐために送られない。"
"アボリジニは大陸ではどこに居住していたか","オーストラリア大陸","アボリジニ","アボリジニ [SEP] アボリジニは、オーストラリア大陸と周辺島嶼（タスマニア島等。ニューギニアやニュージーランド等は含まない）の先住民である。イギリスを中心とするヨーロッパ人達による植民地化の以前からオーストラリア大陸やその周辺諸島に居住していた先住民の子孫達である。"
"マイナーリーグとは","小規模なリーグ","マイナーリーグ","マイナーリーグ [SEP] マイナーリーグは、リーグ戦形式で対戦するスポーツの最上位リーグに対する下位リーグ、あるいは小規模なリーグを意味する語。通常は北米プロ野球リーグの最高峰「メジャーリーグベースボール」の傘下リーグとなっている「マイナーリーグベースボール」を指して用いられる。"
"宇宙飛行技術の非営利的な用途を3つ答えろ","宇宙望遠鏡、偵察衛星、地球観測衛星","宇宙飛行","宇宙飛行 [SEP] 宇宙飛行技術は宇宙開発の根幹を成す技術であり、宇宙旅行や通信衛星のような商業活動にも使用されている。宇宙飛行技術の非営利的な用途としては宇宙望遠鏡、偵察衛星、地球観測衛星等が挙げられる。"
"北海道では慣習的に漁業協同組合をなんと呼ぶか？","漁組（ぎょくみ）","漁業協同組合","漁業協同組合 [SEP] 日本の漁業協同組合（にほんのぎょぎょうきょうどうくみあい）は、世界の漁業協同組合の中にあって、日本で漁業者（漁民）によって組織され・発展してきた協同組合である。略称は漁協（ぎょきょう）、またはJF（ジェイエフ、Japan Fisheries cooperative の略）で、北海道では慣習的に漁組（ぎょくみ）と呼ぶことが多い。"
"文部科学省所管の国立研究開発法人科学技術振興機構（JST）が運営する電子ジャーナルの無料公開システムは何か。","J-STAGE","J-STAGE","J-STAGE [SEP] J-STAGE（ジェイ・ステージ）は、文部科学省所管の国立研究開発法人科学技術振興機構（JST）が運営する電子ジャーナルの無料公開システム。1998年にプロジェクトがスタートした。正式名称は科学技術情報発信・流通総合システム。J-STAGEは、学協会に対し、インターネット上で学術雑誌を公開するシステムとノウハウを無料で提供している。情報の迅速な流通と国際情報発信力の強化、オープンアクセスの推進を目的とする。"
"平安時代はおよそ何年続いたか？","390年","平安時代","平安時代 [SEP] 平安時代（へいあんじだい、延暦13年（794年） - 文治元年（1185年）/建久3年（1192年）頃）は、日本の歴史の時代区分の一つである。延暦13年（794年）に桓武天皇が平安京（京都・現京都府京都市）に都を移してから鎌倉幕府が成立するまでの約390年間を指し、京都におかれた平安京が、鎌倉幕府が成立するまで政治上ほぼ唯一の中心であったことから、平安時代と称される。"
"かつて日本の行政区分だった令制国の一つ。北陸道に属する国は","越後国","越後国","越後国 [SEP] 越後国（えちごのくに）は、かつて日本の行政区分だった令制国の一つ。北陸道に属する。"
"モーリシャス共和国（モーリシャスきょうわこく）の通称は","モーリシャス","モーリシャス","モーリシャス [SEP] モーリシャス共和国（モーリシャスきょうわこく）、通称モーリシャスは、イギリス連邦加盟国の1つで、首都はポートルイスと定められている。インド洋のマスカレン諸島に位置する共和国ながら、アフリカの国家の1つに数えられている。民族構成は多様だが、19世紀にサトウキビ農園の労働力として移入されたインド系住民が過半数を占める。"
"団体での貸切運行を行うバスを何バスと呼ぶか","貸切バス","観光バス","観光バス [SEP] 観光バス（かんこうバス）は、観光を主目的としたバスの総称。団体での貸切運行を行う貸切バス（かしきりバス）や、乗合バスによる定期観光バスがある。"
